id	text
es_0001	"La policía de Santiago del Estero secuestró 25 kilos de milanesas de papel higiénico. Dijeron que fue la ""operación más limpia"" de su carrera."
es_0002	Su respuesta fue tan fulminante que el periodista se evaporó.
es_0003	Despidieron a la empleada por llevarse ropa. La jugada les salió pésimo: ¡era la única que la compraba... y la única a la que le quedaba bien!
es_0004	Los precios de los Tesla usados han caído tanto que Elon Musk ya les está diseñando paracaídas.
es_0005	"""Por qué la amabilidad no es algo opcional.""
— Y yo que pensaba que era un DLC..."
es_0006	Este exatleta tiene un récord mundial que hace 30 años nadie puede romper. Es que su disciplina fue eliminada por ser demasiado aburrida.
es_0007	Al músico no lo mató el brócoli, lo que lo mató fue la nota discordante en su paladar.
es_0008	"""El avión comercial más fabricado de la historia cumple 90 años y aún opera. ¡Es tan viejo que su 'WiFi a bordo' es una paloma mensajera!"""
es_0009	Restaurante vegano de Nueva York volverá a servir carne. ¡Al final, lo más vegetal de su menú eran los billetes!
es_0010	La historia de la azafata con oro en Ezeiza... ¿Curiosa? ¡Más bien *pesada*!
es_0011	Dicen que las estructuras de sal del Mar Muerto son un misterio. ¡Pero claro! ¿Qué esperas de un mar tan salado... que te dé explicaciones?
es_0012	El municipio encontró la solución a la inflación: ¡cobrarles a los muñecos inflables para que se desinflen!
es_0013	La F1 se sacudió porque Max no pudo adelantarle ni la toalla a Toto en el yate.
es_0014	¿Espiar llamadas por vibraciones? ¡Mi teléfono debe estar más estresado que un sismógrafo en un concierto de reggaeton!
es_0015	Dijo que si no paran, ¡les enviará a Mike Pence a negociar... y lo tendrán que escuchar hasta el final!
es_0016	"""Estudio confirma que vivir en ciudades más transitables aumenta los pasos diarios."" ¡Por fin un estudio que revela lo que mis piernas ya sabían!"
es_0017	"""El 'padrino de la IA' revela el único camino posible para sobrevivir: '¡Pedirle que desactive las notificaciones de un grupo de WhatsApp familiar!'"""
es_0018	Para cuando salga, Shrek ya no buscará a Fiona... ¡buscará la pastilla para la tensión y dónde dejó las llaves!
es_0019	¿Un visitante silencioso que rozará la Tierra y revive un impacto histórico? ¡Ah, claro! La factura de la luz. Llega sin hacer ruido, la rozo con la mirada y el impacto en mi cartera es siempre apocalíptico.
es_0020	Están cansados de los anuncios... incluso de los que les dicen que todo el mundo está desinstalando Spotify.
es_0021	"La nueva interfaz cerebral interpreta monólogos internos con sorprendente precisión. La mía, por ejemplo, solo decía: ""No te olvides del pan. No te olvides del pan. No te olvides del pan..."""
es_0022	¡Novedoso contendedor inundable para coches eléctricos en llamas! Por fin, una piscina portátil para cuando tu Tesla se caliente demasiado.
